,Latitude,Longitude,Precipitation(MM),Humidity,Temperature,Wind Speed,Wind Gust,Cloud Cover,Date
0,36.602575,-118.01651000000001,0.0,25,41,10,16,1,2013-02-24
1,34.288877,-116.94131100000001,0.0,23,76,5,8,0,2013-04-20
2,37.116295,-119.63500400000001,0.0,33,78,5,7,2,2013-04-30
3,40.190062,-121.595555,0.0,25,59,12,19,1,2013-05-01
4,38.441792,-122.350844,0.0,31,83,9,15,3,2013-04-30
5,38.638828000000004,-122.655616,0.0,20,83,12,18,0,2013-05-01
6,34.288877,-116.94131100000001,0.0,26,77,11,17,0,2013-05-01
7,37.160346000000004,-120.937494,0.0,18,93,7,11,0,2013-05-03
8,39.514139,-122.56086200000001,0.0,19,78,17,27,1,2013-05-01
9,34.1834,-117.4408,0.0,23,95,5,7,0,2013-05-13
10,33.894055,-116.855019,0.0,36,75,9,13,21,2013-05-04
11,34.7861,-118.9411,0.0,48,78,5,8,5,2013-05-15
12,33.655638,-116.161201,0.0,38,83,12,20,4,2013-05-16
13,34.49149,-118.61004399999999,0.0,60,70,5,7,11,2013-05-17
14,37.1927,-119.7917,0.0,38,74,5,8,0,2013-05-19
15,35.49864,-120.91375,0.0,42,79,7,13,4,2013-05-20
16,33.96201,-116.90721299999998,0.0,32,81,6,9,0,2013-05-20
17,33.9582,-116.6534,0.0,21,85,9,14,27,2013-05-21
18,38.049929999999996,-120.90325,0.0,47,83,6,8,1,2013-05-30
19,32.564465000000006,-116.900368,0.0,70,69,6,8,0,2013-05-22
20,33.121109999999994,-116.52578999999999,0.0,45,77,12,18,0,2013-05-23
21,35.5123,-120.6368,0.0,54,73,7,9,0,2013-05-25
22,33.963591,-117.18793400000001,0.0,56,72,6,7,1,2013-05-25
23,33.044579999999996,-116.5209,0.0,44,78,12,18,23,2013-05-26
24,34.55048,-119.82428999999999,0.0,52,75,13,21,6,2013-05-27
25,34.419284000000005,-118.58688000000001,0.0,48,76,10,16,3,2013-05-28
26,34.611824,-120.074655,0.0,65,72,15,24,6,2013-05-28
27,35.15832,-120.05131000000002,0.0,29,89,6,9,15,2013-06-01
28,37.91529,-120.33313000000001,0.0,29,88,4,7,0,2013-06-02
29,39.434183000000004,-121.57680400000001,0.0,27,97,6,11,0,2013-06-03
30,33.99647,-116.84137,0.0,40,85,5,7,10,2013-06-09
31,38.4229,-122.0437,0.0,70,71,8,10,35,2013-06-10
32,37.03776,-121.00693899999999,0.0,46,90,8,12,4,2013-06-04
33,38.992329999999995,-122.703193,0.0,59,87,5,8,1,2013-06-05
34,34.585595,-118.423176,0.0,31,83,9,14,3,2013-05-30
35,37.775057000000004,-121.73721299999998,0.0,45,96,6,9,2,2013-06-08
36,33.969359999999995,-117.1265,0.0,43,90,5,7,0,2013-06-08
37,39.9845,-121.5747,0.0,73,65,6,8,34,2013-06-10
38,38.27783,-120.966016,0.0,39,87,4,5,2,2013-06-12
39,37.169379,-119.75636000000002,0.0,23,82,5,8,0,2013-06-12
40,36.772425,-119.62838899999998,0.0,19,88,7,11,0,2013-06-13
41,37.58202,-119.91071000000001,0.0,33,70,6,9,0,2013-06-16
42,38.729296999999995,-121.38086200000001,0.0,32,85,4,5,7,2013-06-13
43,36.763366999999995,-119.55824399999999,0.0,18,88,6,9,0,2013-06-13
44,34.001745,-117.302057,0.0,47,84,5,7,0,2013-06-14
45,37.015575,-119.78106000000001,0.0,24,91,8,12,0,2013-06-16
46,38.08744,-122.13802,0.0,65,72,12,17,13,2013-06-18
47,37.03087,-119.463757,0.0,32,85,5,8,0,2013-06-17
